Met;Frag;[1,2]Glc;[2,3]Glc;[4,5,6]Glc;[2,3,4,5,6]Glc;[1] + [4,5,6]Glc (1:1);[1] + [U]Glc (1:1);[1] + [U]Glc (4:1);20% [U]Glc;[1]Glc;[2]Glc;[3]Glc;[4]Glc;[5]Glc;[6]Glc
Leu;Leu274 (M1);15,7;35,2;11,9;1,9;21,6;8,6;22,6;19,7;36,1;40,5;25,4;18,3;40,7;28,2
Leu;Leu274 (M2);24,2;26,5;21,4;7,8;25,7;16,8;27,6;24,3;29,9;27,6;9,2;7;30,8;36
Leu;Leu274 (M3);22;12;23,5;24,3;21,3;25,9;21,9;10,4;12,5;8,6;2,1;1,2;8,5;19,9
Leu;Leu274 (M4);13,6;3,8;15,4;34,7;11,6;22,4;11,4;5,3;3,4;2,4;0,4;0,2;2,5;5,4
Leu;Leu274 (M5);8,6;1;13,5;21,5;5,2;17,4;4,4;1,8;0,8;0,5;0,1;0;0,5;1,6
Leu;Leu274 (M6);2;0,2;3;5,5;1,2;4;1;0,4;0,1;0,1;0;0;0,1;0,2
Leu;Leu274 (M7);0,6;0,1;1,1;1,7;0,3;1,3;0,3;0,1;0;0;0;0;0;0
Ile;Ile274 (M0);17,3;19,1;12,8;2,7;16,4;5;13,4;38,2;23,2;20,4;49,2;52,3;16,2;14,9
Ile;Ile274 (M1);13,5;30,7;9,9;2;21,1;9,3;24;18,8;39,5;40,3;33,6;33,9;39,7;38
Ile;Ile274 (M2);29,6;27,3;23;6,3;25,3;18,6;26,8;23;25,5;27,4;12,6;10,3;31,2;32,1
Ile;Ile274 (M3);17,1;15,2;21,6;20,4;19,8;24,7;20,2;11,7;8,8;8,9;3,7;2,9;9,5;11
Ile;Ile274 (M4);14,8;5,7;14,5;35,2;10,6;21,2;10,3;5,3;2,4;2,4;0,8;0,5;2,8;3,2
Ile;Ile274 (M5);5,9;1,6;14;25,2;5,3;16,2;4,1;2,4;0,5;0,5;0,2;0,1;0,5;0,7
Ile;Ile274 (M6);1,6;0,3;3,1;6,3;1,2;3,8;1;0,5;0,1;0,1;0;0;0,1;0,1
Ile;Ile274 (M7);0,4;0,1;1,1;1,9;0,3;1,2;0,2;0,1;0;0;0;0;0;0
Ser;Ser362 (M0);32,9;36,2;28,9;4,2;34,1;18,2;31,6;50;40,4;36,4;61,7;65,5;31,5;32,5
Ser;Ser362 (M1);24,7;39,3;21,5;29,9;30,5;28;35,5;23,8;39,7;41,8;24,7;22;45,6;45,1
Ser;Ser362 (M2);32,3;18;37,8;49,5;26,6;40,7;24,4;20,2;14,6;15,8;10,9;10,2;16,4;16,1
Ser;Ser362 (M3);10,2;6,4;11,8;16,4;8,8;13;8,5;6;5,3;6;2,7;2,3;6,4;6,3
Phe;Phe302 (M0);42,3;41,8;37,8;5,7;54,7;37;57,4;57,8;71,6;41,5;40,2;34,4;34,4;72,5
Phe;Phe302 (M1);41,2;12,3;10,4;4;14,7;13,5;17,6;17,4;19,4;41,9;41,9;48,1;47,8;18,9
Phe;Phe302 (M2);12,6;37,2;42,2;72,9;25;40;20,2;20,3;7,7;12,7;13,5;13,2;13,3;7,4
Phe;Phe302 (M3);3,9;8,6;9,7;17,4;5,7;9,5;4,8;4,6;1,3;4;4,3;4,3;4,5;1,1
Phe;Phe308 (M0);15,7;1,9;6,1;3,3;11,6;3,6;10,7;31,5;20,4;14,6;4,5;17,5;4;4,3
Phe;Phe308 (M1);9,2;16,8;2,3;1,2;13,3;5;18,3;13,7;37,8;34;49;58,6;21,6;22
Phe;Phe308 (M2);28,7;27,9;9,8;1,2;17,6;11,2;21,9;20,7;27,2;30,2;30,2;16,6;38;38,2
Phe;Phe308 (M3);13,9;24,2;15;1,4;19;12,8;17,6;11,5;10,5;14,5;11,8;6;26,3;25,8
Phe;Phe308 (M4);18,4;16,1;9;1,8;14,3;16,3;12,9;10,8;3;5,1;3,5;1;7,5;7,3
Phe;Phe308 (M5);7,6;8,5;29,5;6,1;13,2;14,3;8,8;5,3;0,6;1,3;0,8;0,2;2,1;1,9
Phe;Phe308 (M6);4,4;3,3;7,2;21,5;6,3;15,8;5,6;4,1;0,1;0,3;0,1;0;0,3;0,3
Phe;Phe308 (M7);1,7;1,1;17,4;36,9;3,8;11,9;2,9;1,5;0,1;0,1;0;0;0,1;0,1
Phe;Phe308 (M8);0,5;0,3;3,7;26,5;1;9,2;1,3;0,8;0,2;0,1;0,1;0;0,1;0,1
Asp;Asp390 (M0);27,6;30,3;21,8;3,4;26,5;11,9;23,3;43,5;33,7;33,6;46,6;46,4;29,7;27,4
Asp;Asp390 (M1);20,9;31,3;18,9;9,7;27,8;20,4;31,5;24,1;39;40,4;33,1;34,3;43,6;43
Asp;Asp390 (M2);29,2;24,3;22,3;32;22,6;25,7;24,2;18;18,1;17,4;14,2;13,4;17,7;19,3
Asp;Asp390 (M3);15;9,9;25,2;37,1;15,9;28,7;14,6;10;6,9;6,6;4,8;4,6;6,9;7,7
Asp;Asp390 (M4);5,6;3,4;8,4;12,8;5,3;9,6;4,9;3,3;1,9;1,7;1,1;1;1,7;2,1
Asp;Asp390 (M5);1,7;0,9;3,3;5;1,9;3,8;1,6;1,1;0,4;0,4;0,2;0,2;0,4;0,5
Asp;Asp418 (M0);25,3;24,3;18,4;2,7;23,5;9,3;20,1;40,3;31,1;29,9;35,6;32,9;26,3;26,1
Asp;Asp418 (M1);17,5;25,5;16,7;3,1;26,1;17,2;29,2;23;38,4;38,8;34,8;35;42,2;41,8
Asp;Asp418 (M2);29,4;25,1;15,4;12,2;19;18,8;22,1;16,3;19,8;20,3;19,5;21,2;20,4;20,5
Asp;Asp418 (M3);15,5;16,1;21;33;17,3;23,1;16,6;12;7,7;7,9;7,3;7,7;8,1;8,4
Asp;Asp418 (M4);8,8;6,4;19,3;33;9,7;21,5;8,3;5,8;2,4;2,4;2,3;2,5;2,4;2,5
Asp;Asp418 (M5);2,7;2,1;6,7;11,6;3,4;7,3;2,8;2;0,6;0,6;0,5;0,6;0,5;0,6
Asp;Asp418 (M6);0,8;0,5;2,5;4,4;1,1;2,7;0,8;0,6;0,1;0,1;0,1;0,1;0,1;0,1
