R1_i,R2 net_i,R2 exch_i,R3_i,R4_i,R5_i
99.549,62.569,37.999,18.49,18.49,81.059
99.826,62.468,34.196,18.679,18.679,81.147
99.841,61.802,38.091,19.02,19.02,80.821
99.952,62.036,36.794,18.958,18.958,80.994
100.04,61.708,37.169,19.168,19.168,80.876
99.996,62.44,39.201,18.778,18.778,81.218
100.38,61.827,37.948,19.279,19.279,81.106
99.752,62.287,38.595,18.732,18.732,81.02
100.24,61.975,35.768,19.133,19.133,81.108
99.69,61.977,35.247,18.856,18.856,80.833
99.697,62.468,38.328,18.614,18.614,81.082
100.16,62.235,36.356,18.961,18.961,81.195
100.03,61.759,35.181,19.135,19.135,80.894
99.98,60.632,38.445,19.674,19.674,80.306
100.38,61.523,39.349,19.429,19.429,80.953
99.875,61.64,36.101,19.118,19.118,80.757
99.727,61.632,37.78,19.047,19.047,80.68
99.875,61.366,36.796,19.255,19.255,80.621
99.962,61.901,40.848,19.031,19.031,80.931
100.12,61.96,38.648,19.078,19.078,81.038
100.0,62.622,36.153,18.691,18.691,81.313
99.813,62.113,37.037,18.85,18.85,80.963
100.04,61.65,38.362,19.197,19.197,80.847
100.12,61.21,40.86,19.455,19.455,80.665
100.14,61.201,34.933,19.472,19.472,80.673
100.17,61.92,34.665,19.123,19.123,81.043
99.674,62.487,39.302,18.593,18.593,81.081
100.28,60.905,36.231,19.687,19.687,80.591
99.927,61.492,35.048,19.217,19.217,80.709
99.984,62.243,37.421,18.871,18.871,81.114
99.871,62.797,36.252,18.537,18.537,81.334
99.328,62.618,36.913,18.355,18.355,80.973
100.16,60.847,37.972,19.655,19.655,80.502
100.3,61.77,36.517,19.263,19.263,81.033
99.861,61.631,36.266,19.115,19.115,80.746
99.807,62.12,36.127,18.844,18.844,80.964
99.917,61.822,37.734,19.047,19.047,80.87
99.572,62.733,35.826,18.42,18.42,81.153
100.4,61.903,34.824,19.247,19.247,81.15
100.05,61.343,38.033,19.355,19.355,80.698
100.02,61.871,35.241,19.074,19.074,80.946
99.838,61.982,37.642,18.928,18.928,80.91
99.794,62.435,37.84,18.679,18.679,81.115
100.28,61.595,36.792,19.344,19.344,80.939
100.12,61.406,34.864,19.358,19.358,80.764
99.639,62.879,36.894,18.38,18.38,81.259
99.614,62.064,37.403,18.775,18.775,80.839
99.469,62.113,37.879,18.678,18.678,80.791
99.806,62.509,38.066,18.649,18.649,81.157
99.951,61.689,37.076,19.131,19.131,80.82
100.22,62.167,40.258,19.025,19.025,81.192
99.332,62.359,35.793,18.486,18.486,80.845
100.1,61.974,35.981,19.062,19.062,81.036
100.08,62.174,39.312,18.953,18.953,81.127
99.963,61.953,36.125,19.005,19.005,80.958
100.26,61.686,37.926,19.287,19.287,80.973
99.507,61.641,36.566,18.933,18.933,80.574
99.819,62.251,35.626,18.784,18.784,81.035
100.19,62.323,36.462,18.931,18.931,81.254
99.571,62.019,35.534,18.776,18.776,80.795
99.703,62.551,38.503,18.576,18.576,81.127
99.72,62.436,37.285,18.642,18.642,81.078
99.79,61.72,36.139,19.035,19.035,80.755
99.543,61.639,37.921,18.952,18.952,80.591
99.575,62.686,38.381,18.444,18.444,81.131
99.957,61.472,37.627,19.243,19.243,80.715
100.02,62.098,35.946,18.96,18.96,81.057
100.11,61.816,38.659,19.148,19.148,80.965
99.683,62.229,36.953,18.727,18.727,80.956
99.737,61.992,37.529,18.873,18.873,80.865
99.917,61.881,36.074,19.018,19.018,80.899
99.821,62.553,38.172,18.634,18.634,81.187
99.839,61.943,39.409,18.948,18.948,80.891
99.821,61.809,37.19,19.006,19.006,80.815
100.19,62.7,39.359,18.746,18.746,81.446
100.14,61.891,34.291,19.123,19.123,81.013
99.748,62.158,34.897,18.795,18.795,80.953
100.16,61.745,37.108,19.21,19.21,80.955
99.793,61.765,34.517,19.014,19.014,80.779
99.757,62.221,34.393,18.768,18.768,80.989
99.688,62.065,39.065,18.812,18.812,80.876
100.42,61.094,35.624,19.664,19.664,80.758
99.765,62.156,40.703,18.804,18.804,80.961
99.93,61.288,37.795,19.321,19.321,80.609
100.35,62.385,37.558,18.984,18.984,81.369
100.22,61.955,37.035,19.132,19.132,81.087
99.568,61.591,38.643,18.988,18.988,80.579
99.353,62.751,34.856,18.301,18.301,81.052
99.857,61.703,38.25,19.077,19.077,80.78
100.06,61.894,38.978,19.083,19.083,80.977
99.048,62.537,38.373,18.256,18.256,80.793
99.732,62.328,37.468,18.702,18.702,81.03
99.802,61.912,38.688,18.945,18.945,80.857
100.06,62.118,36.36,18.969,18.969,81.087
99.167,62.83,37.659,18.169,18.169,80.998
99.931,61.751,34.715,19.09,19.09,80.841
100.07,61.653,40.952,19.211,19.211,80.864
99.57,62.272,35.087,18.649,18.649,80.921
100.15,62.405,36.637,18.871,18.871,81.276
99.399,62.48,41.413,18.46,18.46,80.939
100.13,61.722,38.989,19.204,19.204,80.925
99.848,62.551,37.472,18.649,18.649,81.199
99.36,63.254,38.119,18.053,18.053,81.307
100.04,61.898,39.774,19.069,19.069,80.967
99.898,62.194,36.252,18.852,18.852,81.046
99.897,61.894,33.263,19.002,19.002,80.896
99.773,62.219,36.21,18.777,18.777,80.996
99.78,62.02,39.918,18.88,18.88,80.9
99.668,61.607,36.871,19.031,19.031,80.638
99.435,62.103,37.494,18.666,18.666,80.769
100.19,61.064,40.956,19.561,19.561,80.625
99.928,61.142,37.25,19.393,19.393,80.535
99.862,61.484,35.597,19.189,19.189,80.673
100.2,61.836,35.604,19.18,19.18,81.017
99.886,62.658,37.888,18.614,18.614,81.272
99.948,61.703,39.235,19.122,19.122,80.826
99.616,61.69,38.356,18.963,18.963,80.653
99.649,61.755,36.907,18.947,18.947,80.702
99.955,62.461,35.475,18.747,18.747,81.208
99.757,62.458,36.553,18.65,18.65,81.108
99.957,61.836,37.845,19.06,19.06,80.897
99.554,62.151,36.244,18.702,18.702,80.852
100.02,61.904,40.64,19.058,19.058,80.962
99.86,62.294,34.483,18.783,18.783,81.077
99.707,62.337,38.812,18.685,18.685,81.022
99.911,61.739,38.579,19.086,19.086,80.825
99.743,61.863,37.248,18.94,18.94,80.803
100.1,61.91,40.3,19.097,19.097,81.007
99.487,61.641,37.203,18.923,18.923,80.564
99.552,62.923,38.159,18.314,18.314,81.238
99.798,62.504,37.015,18.647,18.647,81.151
