mass_isotope,intensity_std_error,ms_id,experiment_id,met_id,labelled_atom_ids,unlabelled_atoms,measurement_replicate,time,intensity
1,0.003,Glycine218,inst1,GL,[2],C8H24ONSi2,1,1.0,0.526741412398142
1,0.003,Glycine246,inst1,GL,"[1, 2]",C8H24O2NSi2,1,1.0,0.2318667991281933
1,0.003,Valine260,inst1,VAL,"[2, 3, 4, 5]",C8H30ONSi2,1,1.0,0.17844566853151392
1,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,1.0,0.18433329034377954
1,0.003,Leucine274,inst1,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,1.0,0.18467248634565017
1,0.003,Isoleucine274,inst1,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,1.0,0.18467252195433986
1,0.003,Methionine320,inst1,MET,"[2, 3, 4, 5]",C6H24NSiS,1,1.0,0.13694887841380238
1,0.003,Serine362,inst1,SER,"[2, 3]",C14H40O2NSi3,1,1.0,0.1516034978393515
1,0.003,Serine390,inst1,SER,"[1, 2, 3]",C14H40O3NSi3,1,1.0,0.15365890556053388
1,0.003,Threonine376,inst1,THR,"[2, 3, 4]",C14H42O2NSi3,1,1.0,0.22439805489466932
1,0.003,Threonine404,inst1,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,1.0,0.22860395212282392
1,0.003,Phenylalanine302,inst1,PHE,"[1, 2]",C12H32O2NSi2,1,1.0,0.19038615831465872
1,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,1.0,0.20177081953584253
1,0.003,Phenylalanine336,inst1,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,1.0,0.2069993596294555
1,0.003,Asparticacid302,inst1,ASP,"[1, 2]",C12H32O2NSi2,1,1.0,0.19038615592072666
1,0.003,Asparticacid390,inst1,ASP,"[2, 3, 4]",C14H40O3NSi3,1,1.0,0.22396900488613228
1,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,1.0,0.22816545020903573
1,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,1.0,0.2020222182699933
1,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,1.0,0.2326595730036844
1,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,1.0,0.08850101605746474
1,0.003,Histidine440,inst1,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,1,1.0,0.07525509411285448
2,0.003,Alanine232,inst1,ALA,"[2, 3]",C8H26ONSi2,1,1.0,0.4354989400081638
2,0.003,Alanine260,inst1,ALA,"[1, 2, 3]",C8H26O2NSi2,1,1.0,0.18643657628761956
2,0.003,Glycine246,inst1,GL,"[1, 2]",C8H24O2NSi2,1,1.0,0.4285558464535649
2,0.003,Valine260,inst1,VAL,"[2, 3, 4, 5]",C8H30ONSi2,1,1.0,0.0701104243205245
2,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,1.0,0.07266985527775827
2,0.003,Leucine274,inst1,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,1.0,0.07131752803139418
2,0.003,Isoleucine274,inst1,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,1.0,0.0713175204117815
2,0.003,Methionine320,inst1,MET,"[2, 3, 4, 5]",C6H24NSiS,1,1.0,0.07111857167236674
2,0.003,Serine362,inst1,SER,"[2, 3]",C14H40O2NSi3,1,1.0,0.4076419946420758
2,0.003,Serine390,inst1,SER,"[1, 2, 3]",C14H40O3NSi3,1,1.0,0.15889746309853559
2,0.003,Threonine376,inst1,THR,"[2, 3, 4]",C14H42O2NSi3,1,1.0,0.10323495119365861
2,0.003,Threonine404,inst1,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,1.0,0.10567528053503654
2,0.003,Phenylalanine302,inst1,PHE,"[1, 2]",C12H32O2NSi2,1,1.0,0.07391389762056462
2,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,1.0,0.07510565567596807
2,0.003,Phenylalanine336,inst1,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,1.0,0.07779597909679317
2,0.003,Asparticacid302,inst1,ASP,"[1, 2]",C12H32O2NSi2,1,1.0,0.07391389870998893
2,0.003,Asparticacid390,inst1,ASP,"[2, 3, 4]",C14H40O3NSi3,1,1.0,0.10434306538925804
2,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,1.0,0.10676122800574439
2,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,1.0,0.07656002937600881
2,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,1.0,0.10811317535701999
2,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,1.0,0.16258892047922502
2,0.003,Histidine440,inst1,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,1,1.0,0.10710586864368933
3,0.003,Alanine260,inst1,ALA,"[1, 2, 3]",C8H26O2NSi2,1,1.0,0.3797170441719632
3,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,1.0,0.01203511755939418
3,0.003,Leucine274,inst1,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,1.0,0.01167848335077404
3,0.003,Isoleucine274,inst1,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,1.0,0.011678463930475473
3,0.003,Methionine320,inst1,MET,"[2, 3, 4, 5]",C6H24NSiS,1,1.0,0.009512051883667102
3,0.003,Threonine404,inst1,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,1.0,0.025053331668379114
3,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,1.0,0.013613790010603996
3,0.003,Phenylalanine336,inst1,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,1.0,0.014696152550375898
3,0.003,Asparticacid390,inst1,ASP,"[2, 3, 4]",C14H40O3NSi3,1,1.0,0.02416092865712549
3,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,1.0,0.025473848636023293
3,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,1.0,0.01407943426720856
3,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,1.0,0.026378551555184235
3,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,1.0,0.23723153876759534
3,0.003,Histidine440,inst1,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,1,1.0,0.14614898036035226
4,0.003,Valine260,inst1,VAL,"[2, 3, 4, 5]",C8H30ONSi2,1,1.0,0.001821744407996797
4,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,1.0,0.002066438056765957
4,0.003,Leucine274,inst1,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,1.0,0.0019242982615931283
4,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,1.0,0.0022547565931297113
4,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,1.0,0.006074966469659462
4,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,1.0,0.0024185734801756525
